1,18-1-2023,1,14,7110,cumparare
2,1/7/2023,2,32,17089,cumparare
3,11/11/2023,3,10,17091,cumparare
4,23-4-2023,4,5,31499,cumparare
5,22-6-2023,5,32,10602,cumparare
6,2/6/2023,6,38,10778,cumparare
7,2/7/2023,7,10,10527,cumparare
8,5/5/2023,8,10,11886,cumparare
9,14-2-2023,9,25,3240,cumparare
10,7/9/2023,10,38,2925,cumparare
11,20-3-2023,11,38,2970,cumparare
12,22-7-2023,12,14,3375,cumparare
13,1/5/2023,13,38,2520,cumparare
14,3/2/2023,14,32,2070,cumparare
15,23-10-2023,15,3,2430,cumparare
16,10/6/2023,16,38,2610,cumparare
17,4/9/2023,17,10,4131,cumparare
18,24-5-2023,18,15,3591,cumparare
19,12/12/2023,19,5,6075,cumparare
20,1/7/2023,20,14,5175,cumparare
21,20-1-2023,21,15,4320,cumparare
22,19-3-2023,22,38,2160,cumparare
23,7/9/2023,23,5,16829,cumparare
24,9/4/2023,24,27,12591,cumparare
25,3/5/2023,25,18,16650,cumparare
26,24-5-2023,26,26,18855,cumparare
27,5/2/2023,27,10,13950,cumparare
28,23-10-2023,28,9,27900,cumparare
29,19-11-2023,29,10,24750,cumparare
30,22-10-2023,30,26,28791,cumparare
31,14-3-2023,31,38,31860,cumparare
32,10/7/2023,32,10,48443,cumparare
33,18-5-2023,33,2,5211,cumparare
34,5/11/2023,34,38,5849,cumparare
35,25-8-2023,35,14,6885,cumparare
36,22-7-2023,36,10,19350,cumparare
37,16-6-2023,37,18,4455,cumparare
38,2/4/2023,38,26,4275,cumparare
39,21-10-2023,39,36,5265,cumparare
40,24-10-2023,40,10,21590,cumparare
41,8/12/2023,41,14,21150,cumparare
42,3/1/2023,42,26,24290,cumparare
43,1/5/2023,43,26,26090,cumparare
44,11/9/2023,44,19,27835,cumparare
45,26-7-2023,45,10,21599,cumparare
46,9/6/2023,46,38,49409,cumparare
47,26-1-2023,47,38,49490,cumparare
48,6/10/2023,48,36,85500,cumparare
49,6/9/2023,49,38,39020,cumparare
50,1/9/2023,50,25,38823,cumparare
51,23-10-2023,51,40,3780,cumparare
52,22-11-2023,52,42,5751,cumparare
53,11/10/2023,53,14,23220,cumparare
54,24-11-2023,54,9,3328,cumparare
55,9/8/2023,55,9,3598,cumparare
56,20-7-2023,56,9,5218,cumparare
57,6/5/2023,57,1,40500,cumparare
58,26-7-2023,58,26,359990,cumparare
59,28-7-2023,59,25,251391,cumparare
60,9/3/2023,60,5,116729,cumparare
61,3/1/2023,61,22,72000,cumparare
62,19-2-2023,62,32,2520,cumparare
63,2/4/2023,63,35,5579,cumparare
64,9/12/2023,64,17,5580,cumparare
65,9/11/2023,65,25,6120,cumparare
66,2/10/2023,66,14,7785,cumparare
67,22-5-2023,67,29,7875,cumparare
68,13-5-2023,68,10,9495,cumparare
69,28-2-2023,69,29,8541,cumparare
70,8/5/2023,70,10,10251,cumparare
71,28-11-2023,71,10,12195,cumparare
72,14-6-2023,72,40,13050,cumparare
73,24-11-2023,73,14,24889,cumparare
74,21-7-2023,74,32,1350,cumparare
75,10/10/2023,75,35,2699,cumparare
76,25-11-2023,76,38,1800,cumparare
77,6/7/2023,77,38,2700,cumparare
78,11/8/2023,78,29,3510,cumparare
79,14-10-2023,79,19,3645,cumparare
80,2/6/2023,80,14,4499,cumparare
81,1/4/2023,81,23,2835,cumparare
82,19-6-2023,82,38,4221,cumparare
83,5/3/2023,83,38,4365,cumparare
84,28-9-2023,84,17,4230,cumparare
85,18-8-2023,85,25,5355,cumparare
86,22-11-2023,86,21,4302,cumparare
87,23-5-2023,87,2,5175,cumparare
88,26-5-2023,88,30,5211,cumparare
89,12/11/2023,89,30,5760,cumparare
90,5/5/2023,90,18,5841,cumparare
91,15-1-2023,91,3,6119,cumparare
92,24-2-2023,92,23,6480,cumparare
93,11/2/2023,93,5,4941,cumparare
94,10/4/2023,94,4,5535,cumparare
95,10/8/2023,95,14,6660,cumparare
96,14-3-2023,96,25,5391,cumparare
97,25-5-2023,97,14,5805,cumparare
98,28-8-2023,98,10,6839,cumparare
99,23-5-2023,99,4,7199,cumparare
100,5/2/2023,100,3,7281,cumparare
101,18-10-2023,101,25,7380,cumparare
102,23-10-2023,102,2,6075,cumparare
103,5/3/2023,103,30,6291,cumparare
104,13-3-2023,104,26,8055,cumparare
105,22-11-2023,105,25,8091,cumparare
106,21-5-2023,106,38,8685,cumparare
107,4/5/2023,107,26,10620,cumparare
108,9/4/2023,108,25,11691,cumparare
109,14-10-2023,109,29,12591,cumparare
110,15-7-2023,110,14,8865,cumparare
111,19-3-2023,111,14,9000,cumparare
112,5/7/2023,112,32,9810,cumparare
113,4/1/2023,113,35,9855,cumparare
114,16-12-2023,114,14,9873,cumparare
115,15-8-2023,115,18,10305,cumparare
116,28-4-2023,116,36,11699,cumparare
117,4/9/2023,117,14,11699,cumparare
118,26-9-2023,118,3,12591,cumparare
119,24-12-2023,119,14,10791,cumparare
120,5/10/2023,120,10,10845,cumparare
121,16-1-2023,121,4,11249,cumparare
122,4/10/2023,122,35,11511,cumparare
123,21-5-2023,123,10,11925,cumparare
124,7/7/2023,124,26,13491,cumparare
125,11/7/2023,125,10,13905,cumparare
126,4/11/2023,126,21,13950,cumparare
127,27-1-2023,127,25,15120,cumparare
128,12/8/2023,128,15,12150,cumparare
129,24-12-2023,129,26,13454,cumparare
130,24-8-2023,130,4,11249,cumparare
131,4/4/2023,131,38,11339,cumparare
132,11/4/2023,132,10,14389,cumparare
133,27-3-2023,133,4,15291,cumparare
134,27-6-2023,134,5,18810,cumparare
135,26-11-2023,135,38,19161,cumparare
136,25-8-2023,136,10,11691,cumparare
137,12/9/2023,137,19,12141,cumparare
138,15-2-2023,138,25,13950,cumparare
139,17-5-2023,139,5,15120,cumparare
140,13-9-2023,140,9,15120,cumparare
141,22-12-2023,141,3,15748,cumparare
142,9/3/2023,142,10,16020,cumparare
143,25-3-2023,143,29,16650,cumparare
144,7/10/2023,144,29,13441,cumparare
145,25-4-2023,145,26,15291,cumparare
146,27-5-2023,146,26,16640,cumparare
147,25-10-2023,147,10,17595,cumparare
148,9/7/2023,148,10,17729,cumparare
149,1/11/2023,149,14,20347,cumparare
150,10/10/2023,150,14,25650,cumparare
151,14-8-2023,151,5,14751,cumparare
152,2/2/2023,152,14,15297,cumparare
153,27-6-2023,153,17,17993,cumparare
154,17-10-2023,154,26,19278,cumparare
155,28-11-2023,155,35,20610,cumparare
156,10/2/2023,156,10,30510,cumparare
157,17-10-2023,157,10,21141,cumparare
158,22-7-2023,158,26,25650,cumparare
159,9/4/2023,159,10,24290,cumparare
160,27-11-2023,160,9,31950,cumparare
161,5/7/2023,161,3,25110,cumparare
162,4/1/2023,162,2,2385,cumparare
163,4/5/2023,163,10,3140,cumparare
164,28-11-2023,164,19,6750,cumparare
165,3/3/2023,165,34,1349,cumparare
166,6/12/2023,166,18,1485,cumparare
167,17-5-2023,167,4,2241,cumparare
168,4/7/2023,168,15,3330,cumparare
169,3/8/2023,169,25,2700,cumparare
170,14-8-2023,170,4,3599,cumparare
171,16-5-2023,171,26,4680,cumparare
172,5/4/2023,172,38,2475,cumparare
173,1/8/2023,173,19,2691,cumparare
174,4/8/2023,174,5,2835,cumparare
175,3/12/2023,175,21,2880,cumparare
176,19-11-2023,176,2,3195,cumparare
177,24-2-2023,177,2,3375,cumparare
178,9/9/2023,178,29,3375,cumparare
179,9/2/2023,179,2,3599,cumparare
180,5/5/2023,180,38,3599,cumparare
181,4/10/2023,181,2,3599,cumparare
182,17-12-2023,182,32,3735,cumparare
183,2/11/2023,183,35,4725,cumparare
184,11/1/2023,184,2,4455,cumparare
185,19-5-2023,185,36,4950,cumparare
186,17-8-2023,186,2,3582,cumparare
187,16-5-2023,187,38,3825,cumparare
188,24-6-2023,188,25,3960,cumparare
189,16-4-2023,189,18,4221,cumparare
190,27-12-2023,190,32,4365,cumparare
191,2/8/2023,191,26,4725,cumparare
192,28-2-2023,192,22,5040,cumparare
193,11/5/2023,193,38,6299,cumparare
194,14-9-2023,194,35,6300,cumparare
195,2/7/2023,195,38,6561,cumparare
196,6/10/2023,196,38,8099,cumparare
197,7/7/2023,197,14,8631,cumparare
198,3/7/2023,198,14,4635,cumparare
199,18-11-2023,199,2,5130,cumparare
200,4/10/2023,200,32,5805,cumparare
201,12/2/2023,201,38,6291,cumparare
202,14-9-2023,202,14,6300,cumparare
203,10/9/2023,203,35,6300,cumparare
204,7/10/2023,204,2,6570,cumparare
205,4/4/2023,205,4,6795,cumparare
206,22-9-2023,206,38,7019,cumparare
207,19-7-2023,207,38,7191,cumparare
208,20-11-2023,208,38,7199,cumparare
209,3/4/2023,209,3,7875,cumparare
210,16-7-2023,210,2,8073,cumparare
211,5/8/2023,211,4,5940,cumparare
212,10/12/2023,212,10,6029,cumparare
213,20-6-2023,213,19,6201,cumparare
214,8/9/2023,214,32,6741,cumparare
215,2/2/2023,215,42,6975,cumparare
216,10/11/2023,216,10,7191,cumparare
217,16-12-2023,217,2,7425,cumparare
218,15-9-2023,218,2,7425,cumparare
219,4/2/2023,219,4,7641,cumparare
220,22-11-2023,220,2,7965,cumparare
221,7/4/2023,221,32,8001,cumparare
222,1/11/2023,222,3,8775,cumparare
223,17-4-2023,223,4,6030,cumparare
224,16-12-2023,224,26,6750,cumparare
225,13-7-2023,225,38,7191,cumparare
226,16-4-2023,226,5,7199,cumparare
227,28-2-2023,227,38,7821,cumparare
228,26-1-2023,228,2,8549,cumparare
229,11/9/2023,229,10,8955,cumparare
230,28-4-2023,230,14,11691,cumparare
231,5/6/2023,231,38,6210,cumparare
232,5/12/2023,232,38,7199,cumparare
233,27-11-2023,233,4,7641,cumparare
234,9/11/2023,234,2,7875,cumparare
235,9/12/2023,235,26,8235,cumparare
236,15-4-2023,236,32,8541,cumparare
237,25-5-2023,237,3,9900,cumparare
238,21-1-2023,238,10,10305,cumparare
