Abarth,500,2009,100400,7900,CJ 865 VEN,ZFAK0EG4NDGZ9QCH8,14,1
Abarth,595,2020,49300,18988,PH 038 RYW,ZFAAP2EIE4BW23TO9,32,2
Abarth,595,2020,29330,18990,B 269 NBV,ZFAA8G5P5S806HGG3,10,3
Abarth,695,2022,9900,34999,BH 915 GND,ZFACJ7HAHRD3I6AGX,5,4
Aixam,Coupe,2022,5800,11780,PH 335 WIO,VAAC01S94D2JA4AZ6,32,5
Aixam,Coupe,2022,2,11976,TM 099 PLJ,VAACV4XO1J2T00K67,38,6
Aixam,Miniauto,2023,5,11697,B 125 GTN,VAADK87YOHRGV7BM4,10,7
Aixam,Miniauto,2023,2,13207,B 063 LWQ,VAADAMZUUERRM3JW6,10,8
Alfa Romeo,159,2005,330000,3600,IS 156 FZR,ZARFE77GPVGB8BHX8,25,9
Alfa Romeo,159,2006,311000,3250,TM 516 PGJ,ZARGJDVLPAD48X3I8,38,10
Alfa Romeo,159,2006,203000,3300,TM 484 JNI,ZARGLN86XWC4HAXM8,38,11
Alfa Romeo,159,2006,201650,3750,CJ 891 OXV,ZARGBIA42N5X6YQG8,14,12
Alfa Romeo,159,2007,270000,2800,TM 157 NVK,ZARHQPWI3OMHWDW05,38,13
Alfa Romeo,159,2008,190000,2300,PH 085 AHQ,ZARJWINGYIBTKA0T8,32,14
Alfa Romeo,159,2008,248900,2700,AG 929 RBM,ZARJ3O23SJRCKI770,3,15
Alfa Romeo,159,2008,205100,2900,TM 904 LKF,ZARJ3KQJOBVI2UET6,38,16
Alfa Romeo,159,2009,278980,4590,B 278 JFX,ZARKDK9NOCBX0V72X,10,17
Alfa Romeo,159,2010,299000,3990,CT 129 GXV,ZARLXW2L73LGOV2X5,15,18
Alfa Romeo,159,2011,163000,6750,BH 360 TZK,ZARM3R35JCYKO6O54,5,19
Alfa Romeo,159,2012,250000,5750,CJ 619 KPP,ZARNHU5EPON5FU0W7,14,20
Alfa Romeo,Brera,2007,230000,4800,CT 233 SEN,ZARHWJAF376JCBH54,15,21
